species1,species2,Trait Difference,Trait CI1,Trait CI2
Saguinus_midas,Colobus_guereza,0.041,[0.00-0.08],[0.01-0.09]
Saguinus_oedipus,Colobus_guereza,0.033,[0.04-0.12],[0.01-0.09]
Saimiri_sciureus,Colobus_guereza,0.01,[0.02-0.10],[0.01-0.09]
Sapajus_apella,Colobus_guereza,0.041,[0.00-0.07],[0.01-0.09]
Theropithecus_gelada,Colobus_guereza,0.022,[0.00-0.07],[0.01-0.09]
Trachypithecus_auratus,Colobus_guereza,0.004,[0.00-0.14],[0.01-0.09]
Trachypithecus_cristatus,Colobus_guereza,0.041,[0.00-0.07],[0.01-0.09]
Trachypithecus_francoisi,Colobus_guereza,0.059,[0.02-0.22],[0.01-0.09]
Varecia_rubra,Colobus_guereza,0.094,[0.06-0.23],[0.01-0.09]
Varecia_variegata,Colobus_guereza,0.13,[0.09-0.26],[0.01-0.09]
Alouatta_caraya,Eulemur_macaco,0.169,[0.00-0.12],[0.08-0.35]
Ateles_geoffroyi,Eulemur_macaco,0.014,[0.08-0.31],[0.08-0.35]
Callimico_goeldii,Eulemur_macaco,0.099,[0.04-0.18],[0.08-0.35]
Callithrix_geoffroyi,Eulemur_macaco,0.168,[0.00-0.12],[0.08-0.35]
Callithrix_jacchus,Eulemur_macaco,0.176,[0.00-0.09],[0.08-0.35]
Cebuella_pygmaea,Eulemur_macaco,0.151,[0.00-0.13],[0.08-0.35]
Cercopithecus_neglectus,Eulemur_macaco,0.164,[0.00-0.13],[0.08-0.35]
Colobus_guereza,Eulemur_macaco,0.159,[0.01-0.09],[0.08-0.35]
Eulemur_macaco,Eulemur_macaco,0,[0.08-0.35],[0.08-0.35]
Galago_moholi,Eulemur_macaco,0.138,[0.01-0.16],[0.08-0.35]
Galago_senegalensis,Eulemur_macaco,0.185,[0.00-0.06],[0.08-0.35]
Gorilla_gorilla,Eulemur_macaco,0.17,[0.00-0.08],[0.08-0.35]
Hylobates_lar,Eulemur_macaco,0.041,[0.07-0.28],[0.08-0.35]
Lemur_catta,Eulemur_macaco,0.069,[0.09-0.18],[0.08-0.35]
Leontopithecus_chrysomelas,Eulemur_macaco,0.082,[0.04-0.22],[0.08-0.35]
Leontopithecus_rosalia,Eulemur_macaco,0.144,[0.02-0.11],[0.08-0.35]
Macaca_fascicularis,Eulemur_macaco,0.2,[0.00-0.05],[0.08-0.35]
Macaca_fuscata,Eulemur_macaco,0.177,[0.00-0.09],[0.08-0.35]
Macaca_nigra,Eulemur_macaco,0.172,[0.00-0.10],[0.08-0.35]
Macaca_silenus,Eulemur_macaco,0.171,[0.00-0.08],[0.08-0.35]
Mandrillus_sphinx,Eulemur_macaco,0.156,[0.00-0.12],[0.08-0.35]
Mico_argentatus,Eulemur_macaco,0.2,[0.00-0.09],[0.08-0.35]
Microcebus_murinus,Eulemur_macaco,0.046,[0.14-0.36],[0.08-0.35]
Nycticebus_coucang,Eulemur_macaco,0.117,[0.01-0.22],[0.08-0.35]
Nycticebus_pygmaeus,Eulemur_macaco,0.024,[0.12-0.35],[0.08-0.35]
Pan_troglodytes,Eulemur_macaco,0.189,[0.00-0.04],[0.08-0.35]
Papio_hamadryas,Eulemur_macaco,0.19,[0.00-0.04],[0.08-0.35]
Propithecus_coquereli,Eulemur_macaco,0.12,[0.01-0.21],[0.08-0.35]
Saguinus_bicolor,Eulemur_macaco,0.16,[0.00-0.15],[0.08-0.35]
Saguinus_imperator,Eulemur_macaco,0.2,[0.00-0.05],[0.08-0.35]
Saguinus_midas,Eulemur_macaco,0.2,[0.00-0.08],[0.08-0.35]
Saguinus_oedipus,Eulemur_macaco,0.125,[0.04-0.12],[0.08-0.35]
Saimiri_sciureus,Eulemur_macaco,0.148,[0.02-0.10],[0.08-0.35]
Sapajus_apella,Eulemur_macaco,0.2,[0.00-0.07],[0.08-0.35]
Theropithecus_gelada,Eulemur_macaco,0.181,[0.00-0.07],[0.08-0.35]
Trachypithecus_auratus,Eulemur_macaco,0.163,[0.00-0.14],[0.08-0.35]
Trachypithecus_cristatus,Eulemur_macaco,0.2,[0.00-0.07],[0.08-0.35]
Trachypithecus_francoisi,Eulemur_macaco,0.1,[0.02-0.22],[0.08-0.35]
Varecia_rubra,Eulemur_macaco,0.064,[0.06-0.23],[0.08-0.35]
Varecia_variegata,Eulemur_macaco,0.029,[0.09-0.26],[0.08-0.35]
Alouatta_caraya,Galago_moholi,0.031,[0.00-0.12],[0.01-0.16]
Ateles_geoffroyi,Galago_moholi,0.124,[0.08-0.31],[0.01-0.16]
Callimico_goeldii,Galago_moholi,0.039,[0.04-0.18],[0.01-0.16]
Callithrix_geoffroyi,Galago_moholi,0.03,[0.00-0.12],[0.01-0.16]
Callithrix_jacchus,Galago_moholi,0.038,[0.00-0.09],[0.01-0.16]
Cebuella_pygmaea,Galago_moholi,0.014,[0.00-0.13],[0.01-0.16]
Cercopithecus_neglectus,Galago_moholi,0.027,[0.00-0.13],[0.01-0.16]
Colobus_guereza,Galago_moholi,0.021,[0.01-0.09],[0.01-0.16]
Eulemur_macaco,Galago_moholi,0.138,[0.08-0.35],[0.01-0.16]
Galago_moholi,Galago_moholi,0,[0.01-0.16],[0.01-0.16]
Galago_senegalensis,Galago_moholi,0.047,[0.00-0.06],[0.01-0.16]
Gorilla_gorilla,Galago_moholi,0.033,[0.00-0.08],[0.01-0.16]
Hylobates_lar,Galago_moholi,0.097,[0.07-0.28],[0.01-0.16]
Lemur_catta,Galago_moholi,0.069,[0.09-0.18],[0.01-0.16]
Leontopithecus_chrysomelas,Galago_moholi,0.055,[0.04-0.22],[0.01-0.16]
Leontopithecus_rosalia,Galago_moholi,0.007,[0.02-0.11],[0.01-0.16]
Macaca_fascicularis,Galago_moholi,0.062,[0.00-0.05],[0.01-0.16]
Macaca_fuscata,Galago_moholi,0.039,[0.00-0.09],[0.01-0.16]
Macaca_nigra,Galago_moholi,0.035,[0.00-0.10],[0.01-0.16]
Macaca_silenus,Galago_moholi,0.033,[0.00-0.08],[0.01-0.16]
Mandrillus_sphinx,Galago_moholi,0.018,[0.00-0.12],[0.01-0.16]
Mico_argentatus,Galago_moholi,0.062,[0.00-0.09],[0.01-0.16]
Microcebus_murinus,Galago_moholi,0.183,[0.14-0.36],[0.01-0.16]
Nycticebus_coucang,Galago_moholi,0.021,[0.01-0.22],[0.01-0.16]
Nycticebus_pygmaeus,Galago_moholi,0.162,[0.12-0.35],[0.01-0.16]
Pan_troglodytes,Galago_moholi,0.052,[0.00-0.04],[0.01-0.16]
Papio_hamadryas,Galago_moholi,0.053,[0.00-0.04],[0.01-0.16]
Propithecus_coquereli,Galago_moholi,0.018,[0.01-0.21],[0.01-0.16]
Saguinus_bicolor,Galago_moholi,0.022,[0.00-0.15],[0.01-0.16]
Saguinus_imperator,Galago_moholi,0.062,[0.00-0.05],[0.01-0.16]
Saguinus_midas,Galago_moholi,0.062,[0.00-0.08],[0.01-0.16]
Saguinus_oedipus,Galago_moholi,0.012,[0.04-0.12],[0.01-0.16]
Saimiri_sciureus,Galago_moholi,0.011,[0.02-0.10],[0.01-0.16]
Sapajus_apella,Galago_moholi,0.062,[0.00-0.07],[0.01-0.16]
Theropithecus_gelada,Galago_moholi,0.043,[0.00-0.07],[0.01-0.16]
Trachypithecus_auratus,Galago_moholi,0.025,[0.00-0.14],[0.01-0.16]
Trachypithecus_cristatus,Galago_moholi,0.062,[0.00-0.07],[0.01-0.16]
Trachypithecus_francoisi,Galago_moholi,0.038,[0.02-0.22],[0.01-0.16]
Varecia_rubra,Galago_moholi,0.073,[0.06-0.23],[0.01-0.16]
Varecia_variegata,Galago_moholi,0.109,[0.09-0.26],[0.01-0.16]
Alouatta_caraya,Galago_senegalensis,0.016,[0.00-0.12],[0.00-0.06]
Ateles_geoffroyi,Galago_senegalensis,0.171,[0.08-0.31],[0.00-0.06]
Callimico_goeldii,Galago_senegalensis,0.086,[0.04-0.18],[0.00-0.06]
Callithrix_geoffroyi,Galago_senegalensis,0.017,[0.00-0.12],[0.00-0.06]
Callithrix_jacchus,Galago_senegalensis,0.009,[0.00-0.09],[0.00-0.06]
Cebuella_pygmaea,Galago_senegalensis,0.034,[0.00-0.13],[0.00-0.06]
Cercopithecus_neglectus,Galago_senegalensis,0.021,[0.00-0.13],[0.00-0.06]
Colobus_guereza,Galago_senegalensis,0.026,[0.01-0.09],[0.00-0.06]
Eulemur_macaco,Galago_senegalensis,0.185,[0.08-0.35],[0.00-0.06]
Galago_moholi,Galago_senegalensis,0.047,[0.01-0.16],[0.00-0.06]
Galago_senegalensis,Galago_senegalensis,0,[0.00-0.06],[0.00-0.06]
Gorilla_gorilla,Galago_senegalensis,0.015,[0.00-0.08],[0.00-0.06]
Hylobates_lar,Galago_senegalensis,0.144,[0.07-0.28],[0.00-0.06]
Lemur_catta,Galago_senegalensis,0.116,[0.09-0.18],[0.00-0.06]
Leontopithecus_chrysomelas,Galago_senegalensis,0.102,[0.04-0.22],[0.00-0.06]
Leontopithecus_rosalia,Galago_senegalensis,0.04,[0.02-0.11],[0.00-0.06]
Macaca_fascicularis,Galago_senegalensis,0.015,[0.00-0.05],[0.00-0.06]
Macaca_fuscata,Galago_senegalensis,0.008,[0.00-0.09],[0.00-0.06]
Macaca_nigra,Galago_senegalensis,0.013,[0.00-0.10],[0.00-0.06]
Macaca_silenus,Galago_senegalensis,0.014,[0.00-0.08],[0.00-0.06]
Mandrillus_sphinx,Galago_senegalensis,0.029,[0.00-0.12],[0.00-0.06]
Mico_argentatus,Galago_senegalensis,0.015,[0.00-0.09],[0.00-0.06]
Microcebus_murinus,Galago_senegalensis,0.23,[0.14-0.36],[0.00-0.06]
Nycticebus_coucang,Galago_senegalensis,0.068,[0.01-0.22],[0.00-0.06]
Nycticebus_pygmaeus,Galago_senegalensis,0.209,[0.12-0.35],[0.00-0.06]
Pan_troglodytes,Galago_senegalensis,0.005,[0.00-0.04],[0.00-0.06]
Papio_hamadryas,Galago_senegalensis,0.005,[0.00-0.04],[0.00-0.06]
Propithecus_coquereli,Galago_senegalensis,0.065,[0.01-0.21],[0.00-0.06]
Saguinus_bicolor,Galago_senegalensis,0.025,[0.00-0.15],[0.00-0.06]
Saguinus_imperator,Galago_senegalensis,0.015,[0.00-0.05],[0.00-0.06]
Saguinus_midas,Galago_senegalensis,0.015,[0.00-0.08],[0.00-0.06]
Saguinus_oedipus,Galago_senegalensis,0.059,[0.04-0.12],[0.00-0.06]
Saimiri_sciureus,Galago_senegalensis,0.037,[0.02-0.10],[0.00-0.06]
Sapajus_apella,Galago_senegalensis,0.015,[0.00-0.07],[0.00-0.06]
Theropithecus_gelada,Galago_senegalensis,0.004,[0.00-0.07],[0.00-0.06]
Trachypithecus_auratus,Galago_senegalensis,0.022,[0.00-0.14],[0.00-0.06]
Trachypithecus_cristatus,Galago_senegalensis,0.015,[0.00-0.07],[0.00-0.06]
Trachypithecus_francoisi,Galago_senegalensis,0.085,[0.02-0.22],[0.00-0.06]
Varecia_rubra,Galago_senegalensis,0.12,[0.06-0.23],[0.00-0.06]
Varecia_variegata,Galago_senegalensis,0.156,[0.09-0.26],[0.00-0.06]
Alouatta_caraya,Gorilla_gorilla,0.001,[0.00-0.12],[0.00-0.08]
Ateles_geoffroyi,Gorilla_gorilla,0.156,[0.08-0.31],[0.00-0.08]
Callimico_goeldii,Gorilla_gorilla,0.072,[0.04-0.18],[0.00-0.08]
Callithrix_geoffroyi,Gorilla_gorilla,0.002,[0.00-0.12],[0.00-0.08]
Callithrix_jacchus,Gorilla_gorilla,0.005,[0.00-0.09],[0.00-0.08]
Cebuella_pygmaea,Gorilla_gorilla,0.019,[0.00-0.13],[0.00-0.08]
Cercopithecus_neglectus,Gorilla_gorilla,0.006,[0.00-0.13],[0.00-0.08]
Colobus_guereza,Gorilla_gorilla,0.011,[0.01-0.09],[0.00-0.08]
Eulemur_macaco,Gorilla_gorilla,0.17,[0.08-0.35],[0.00-0.08]
Galago_moholi,Gorilla_gorilla,0.033,[0.01-0.16],[0.00-0.08]
Galago_senegalensis,Gorilla_gorilla,0.015,[0.00-0.06],[0.00-0.08]
Gorilla_gorilla,Gorilla_gorilla,0,[0.00-0.08],[0.00-0.08]
Hylobates_lar,Gorilla_gorilla,0.129,[0.07-0.28],[0.00-0.08]
Lemur_catta,Gorilla_gorilla,0.101,[0.09-0.18],[0.00-0.08]
Leontopithecus_chrysomelas,Gorilla_gorilla,0.088,[0.04-0.22],[0.00-0.08]
Leontopithecus_rosalia,Gorilla_gorilla,0.026,[0.02-0.11],[0.00-0.08]
Macaca_fascicularis,Gorilla_gorilla,0.03,[0.00-0.05],[0.00-0.08]
Macaca_fuscata,Gorilla_gorilla,0.007,[0.00-0.09],[0.00-0.08]
Macaca_nigra,Gorilla_gorilla,0.002,[0.00-0.10],[0.00-0.08]
Macaca_silenus,Gorilla_gorilla,0,[0.00-0.08],[0.00-0.08]
Mandrillus_sphinx,Gorilla_gorilla,0.015,[0.00-0.12],[0.00-0.08]
Mico_argentatus,Gorilla_gorilla,0.03,[0.00-0.09],[0.00-0.08]
Microcebus_murinus,Gorilla_gorilla,0.216,[0.14-0.36],[0.00-0.08]
Nycticebus_coucang,Gorilla_gorilla,0.053,[0.01-0.22],[0.00-0.08]
Nycticebus_pygmaeus,Gorilla_gorilla,0.195,[0.12-0.35],[0.00-0.08]
Pan_troglodytes,Gorilla_gorilla,0.019,[0.00-0.04],[0.00-0.08]
Papio_hamadryas,Gorilla_gorilla,0.02,[0.00-0.04],[0.00-0.08]
Propithecus_coquereli,Gorilla_gorilla,0.05,[0.01-0.21],[0.00-0.08]
Saguinus_bicolor,Gorilla_gorilla,0.01,[0.00-0.15],[0.00-0.08]
Saguinus_imperator,Gorilla_gorilla,0.03,[0.00-0.05],[0.00-0.08]
Saguinus_midas,Gorilla_gorilla,0.03,[0.00-0.08],[0.00-0.08]
Saguinus_oedipus,Gorilla_gorilla,0.045,[0.04-0.12],[0.00-0.08]
Saimiri_sciureus,Gorilla_gorilla,0.022,[0.02-0.10],[0.00-0.08]
Sapajus_apella,Gorilla_gorilla,0.03,[0.00-0.07],[0.00-0.08]
Theropithecus_gelada,Gorilla_gorilla,0.011,[0.00-0.07],[0.00-0.08]
Trachypithecus_auratus,Gorilla_gorilla,0.007,[0.00-0.14],[0.00-0.08]
Trachypithecus_cristatus,Gorilla_gorilla,0.03,[0.00-0.07],[0.00-0.08]
Trachypithecus_francoisi,Gorilla_gorilla,0.07,[0.02-0.22],[0.00-0.08]
Varecia_rubra,Gorilla_gorilla,0.106,[0.06-0.23],[0.00-0.08]
Varecia_variegata,Gorilla_gorilla,0.141,[0.09-0.26],[0.00-0.08]
Alouatta_caraya,Hylobates_lar,0.128,[0.00-0.12],[0.07-0.28]
Ateles_geoffroyi,Hylobates_lar,0.027,[0.08-0.31],[0.07-0.28]
Callimico_goeldii,Hylobates_lar,0.058,[0.04-0.18],[0.07-0.28]
Callithrix_geoffroyi,Hylobates_lar,0.127,[0.00-0.12],[0.07-0.28]
Callithrix_jacchus,Hylobates_lar,0.135,[0.00-0.09],[0.07-0.28]
Cebuella_pygmaea,Hylobates_lar,0.11,[0.00-0.13],[0.07-0.28]
Cercopithecus_neglectus,Hylobates_lar,0.123,[0.00-0.13],[0.07-0.28]
Colobus_guereza,Hylobates_lar,0.118,[0.01-0.09],[0.07-0.28]
Eulemur_macaco,Hylobates_lar,0.041,[0.08-0.35],[0.07-0.28]
Galago_moholi,Hylobates_lar,0.097,[0.01-0.16],[0.07-0.28]
Galago_senegalensis,Hylobates_lar,0.144,[0.00-0.06],[0.07-0.28]
Gorilla_gorilla,Hylobates_lar,0.129,[0.00-0.08],[0.07-0.28]
Hylobates_lar,Hylobates_lar,0,[0.07-0.28],[0.07-0.28]
Lemur_catta,Hylobates_lar,0.028,[0.09-0.18],[0.07-0.28]
Leontopithecus_chrysomelas,Hylobates_lar,0.041,[0.04-0.22],[0.07-0.28]
Leontopithecus_rosalia,Hylobates_lar,0.104,[0.02-0.11],[0.07-0.28]
Macaca_fascicularis,Hylobates_lar,0.159,[0.00-0.05],[0.07-0.28]
Macaca_fuscata,Hylobates_lar,0.136,[0.00-0.09],[0.07-0.28]
Macaca_nigra,Hylobates_lar,0.131,[0.00-0.10],[0.07-0.28]
Macaca_silenus,Hylobates_lar,0.13,[0.00-0.08],[0.07-0.28]
Mandrillus_sphinx,Hylobates_lar,0.115,[0.00-0.12],[0.07-0.28]
Mico_argentatus,Hylobates_lar,0.159,[0.00-0.09],[0.07-0.28]
Microcebus_murinus,Hylobates_lar,0.087,[0.14-0.36],[0.07-0.28]
Nycticebus_coucang,Hylobates_lar,0.076,[0.01-0.22],[0.07-0.28]
Nycticebus_pygmaeus,Hylobates_lar,0.065,[0.12-0.35],[0.07-0.28]
Pan_troglodytes,Hylobates_lar,0.149,[0.00-0.04],[0.07-0.28]
Papio_hamadryas,Hylobates_lar,0.149,[0.00-0.04],[0.07-0.28]
Propithecus_coquereli,Hylobates_lar,0.079,[0.01-0.21],[0.07-0.28]
Saguinus_bicolor,Hylobates_lar,0.119,[0.00-0.15],[0.07-0.28]
Saguinus_imperator,Hylobates_lar,0.159,[0.00-0.05],[0.07-0.28]
Saguinus_midas,Hylobates_lar,0.159,[0.00-0.08],[0.07-0.28]
Saguinus_oedipus,Hylobates_lar,0.084,[0.04-0.12],[0.07-0.28]
Saimiri_sciureus,Hylobates_lar,0.107,[0.02-0.10],[0.07-0.28]
Sapajus_apella,Hylobates_lar,0.159,[0.00-0.07],[0.07-0.28]
Theropithecus_gelada,Hylobates_lar,0.14,[0.00-0.07],[0.07-0.28]
Trachypithecus_auratus,Hylobates_lar,0.122,[0.00-0.14],[0.07-0.28]
Trachypithecus_cristatus,Hylobates_lar,0.159,[0.00-0.07],[0.07-0.28]
Trachypithecus_francoisi,Hylobates_lar,0.059,[0.02-0.22],[0.07-0.28]
Varecia_rubra,Hylobates_lar,0.023,[0.06-0.23],[0.07-0.28]
Varecia_variegata,Hylobates_lar,0.012,[0.09-0.26],[0.07-0.28]
Alouatta_caraya,Lemur_catta,0.1,[0.00-0.12],[0.09-0.18]
Ateles_geoffroyi,Lemur_catta,0.055,[0.08-0.31],[0.09-0.18]
Callimico_goeldii,Lemur_catta,0.03,[0.04-0.18],[0.09-0.18]
Callithrix_geoffroyi,Lemur_catta,0.099,[0.00-0.12],[0.09-0.18]
Callithrix_jacchus,Lemur_catta,0.107,[0.00-0.09],[0.09-0.18]
Cebuella_pygmaea,Lemur_catta,0.082,[0.00-0.13],[0.09-0.18]
Cercopithecus_neglectus,Lemur_catta,0.095,[0.00-0.13],[0.09-0.18]
Colobus_guereza,Lemur_catta,0.09,[0.01-0.09],[0.09-0.18]
Eulemur_macaco,Lemur_catta,0.069,[0.08-0.35],[0.09-0.18]
Galago_moholi,Lemur_catta,0.069,[0.01-0.16],[0.09-0.18]
Galago_senegalensis,Lemur_catta,0.116,[0.00-0.06],[0.09-0.18]
Gorilla_gorilla,Lemur_catta,0.101,[0.00-0.08],[0.09-0.18]
Hylobates_lar,Lemur_catta,0.028,[0.07-0.28],[0.09-0.18]
Lemur_catta,Lemur_catta,0,[0.09-0.18],[0.09-0.18]
Leontopithecus_chrysomelas,Lemur_catta,0.014,[0.04-0.22],[0.09-0.18]
Leontopithecus_rosalia,Lemur_catta,0.076,[0.02-0.11],[0.09-0.18]
Macaca_fascicularis,Lemur_catta,0.131,[0.00-0.05],[0.09-0.18]
Macaca_fuscata,Lemur_catta,0.108,[0.00-0.09],[0.09-0.18]
Macaca_nigra,Lemur_catta,0.103,[0.00-0.10],[0.09-0.18]
Macaca_silenus,Lemur_catta,0.102,[0.00-0.08],[0.09-0.18]
Mandrillus_sphinx,Lemur_catta,0.087,[0.00-0.12],[0.09-0.18]
Mico_argentatus,Lemur_catta,0.131,[0.00-0.09],[0.09-0.18]
Microcebus_murinus,Lemur_catta,0.114,[0.14-0.36],[0.09-0.18]
Nycticebus_coucang,Lemur_catta,0.048,[0.01-0.22],[0.09-0.18]
Nycticebus_pygmaeus,Lemur_catta,0.093,[0.12-0.35],[0.09-0.18]
Pan_troglodytes,Lemur_catta,0.121,[0.00-0.04],[0.09-0.18]
Papio_hamadryas,Lemur_catta,0.121,[0.00-0.04],[0.09-0.18]
Propithecus_coquereli,Lemur_catta,0.051,[0.01-0.21],[0.09-0.18]
Saguinus_bicolor,Lemur_catta,0.091,[0.00-0.15],[0.09-0.18]
Saguinus_imperator,Lemur_catta,0.131,[0.00-0.05],[0.09-0.18]
Saguinus_midas,Lemur_catta,0.131,[0.00-0.08],[0.09-0.18]
Saguinus_oedipus,Lemur_catta,0.057,[0.04-0.12],[0.09-0.18]
Saimiri_sciureus,Lemur_catta,0.079,[0.02-0.10],[0.09-0.18]
Sapajus_apella,Lemur_catta,0.131,[0.00-0.07],[0.09-0.18]
Theropithecus_gelada,Lemur_catta,0.112,[0.00-0.07],[0.09-0.18]
Trachypithecus_auratus,Lemur_catta,0.094,[0.00-0.14],[0.09-0.18]
Trachypithecus_cristatus,Lemur_catta,0.131,[0.00-0.07],[0.09-0.18]
Trachypithecus_francoisi,Lemur_catta,0.031,[0.02-0.22],[0.09-0.18]
Varecia_rubra,Lemur_catta,0.004,[0.06-0.23],[0.09-0.18]
Varecia_variegata,Lemur_catta,0.04,[0.09-0.26],[0.09-0.18]
Alouatta_caraya,Leontopithecus_chrysomelas,0.086,[0.00-0.12],[0.04-0.22]
Ateles_geoffroyi,Leontopithecus_chrysomelas,0.068,[0.08-0.31],[0.04-0.22]
Callimico_goeldii,Leontopithecus_chrysomelas,0.016,[0.04-0.18],[0.04-0.22]
Callithrix_geoffroyi,Leontopithecus_chrysomelas,0.085,[0.00-0.12],[0.04-0.22]
Callithrix_jacchus,Leontopithecus_chrysomelas,0.093,[0.00-0.09],[0.04-0.22]
Cebuella_pygmaea,Leontopithecus_chrysomelas,0.069,[0.00-0.13],[0.04-0.22]
Cercopithecus_neglectus,Leontopithecus_chrysomelas,0.082,[0.00-0.13],[0.04-0.22]
Colobus_guereza,Leontopithecus_chrysomelas,0.076,[0.01-0.09],[0.04-0.22]
Eulemur_macaco,Leontopithecus_chrysomelas,0.082,[0.08-0.35],[0.04-0.22]
Galago_moholi,Leontopithecus_chrysomelas,0.055,[0.01-0.16],[0.04-0.22]
Galago_senegalensis,Leontopithecus_chrysomelas,0.102,[0.00-0.06],[0.04-0.22]
Gorilla_gorilla,Leontopithecus_chrysomelas,0.088,[0.00-0.08],[0.04-0.22]
Hylobates_lar,Leontopithecus_chrysomelas,0.041,[0.07-0.28],[0.04-0.22]
Lemur_catta,Leontopithecus_chrysomelas,0.014,[0.09-0.18],[0.04-0.22]
Leontopithecus_chrysomelas,Leontopithecus_chrysomelas,0,[0.04-0.22],[0.04-0.22]
Leontopithecus_rosalia,Leontopithecus_chrysomelas,0.062,[0.02-0.11],[0.04-0.22]
Macaca_fascicularis,Leontopithecus_chrysomelas,0.118,[0.00-0.05],[0.04-0.22]
Macaca_fuscata,Leontopithecus_chrysomelas,0.094,[0.00-0.09],[0.04-0.22]
Macaca_nigra,Leontopithecus_chrysomelas,0.09,[0.00-0.10],[0.04-0.22]
Macaca_silenus,Leontopithecus_chrysomelas,0.088,[0.00-0.08],[0.04-0.22]
Mandrillus_sphinx,Leontopithecus_chrysomelas,0.073,[0.00-0.12],[0.04-0.22]
Mico_argentatus,Leontopithecus_chrysomelas,0.118,[0.00-0.09],[0.04-0.22]
Microcebus_murinus,Leontopithecus_chrysomelas,0.128,[0.14-0.36],[0.04-0.22]
Nycticebus_coucang,Leontopithecus_chrysomelas,0.034,[0.01-0.22],[0.04-0.22]
Nycticebus_pygmaeus,Leontopithecus_chrysomelas,0.107,[0.12-0.35],[0.04-0.22]
Pan_troglodytes,Leontopithecus_chrysomelas,0.107,[0.00-0.04],[0.04-0.22]
Papio_hamadryas,Leontopithecus_chrysomelas,0.108,[0.00-0.04],[0.04-0.22]
Propithecus_coquereli,Leontopithecus_chrysomelas,0.038,[0.01-0.21],[0.04-0.22]
Saguinus_bicolor,Leontopithecus_chrysomelas,0.078,[0.00-0.15],[0.04-0.22]
Saguinus_imperator,Leontopithecus_chrysomelas,0.118,[0.00-0.05],[0.04-0.22]
Saguinus_midas,Leontopithecus_chrysomelas,0.118,[0.00-0.08],[0.04-0.22]
Saguinus_oedipus,Leontopithecus_chrysomelas,0.043,[0.04-0.12],[0.04-0.22]
Saimiri_sciureus,Leontopithecus_chrysomelas,0.066,[0.02-0.10],[0.04-0.22]
Sapajus_apella,Leontopithecus_chrysomelas,0.118,[0.00-0.07],[0.04-0.22]
Theropithecus_gelada,Leontopithecus_chrysomelas,0.098,[0.00-0.07],[0.04-0.22]
Trachypithecus_auratus,Leontopithecus_chrysomelas,0.081,[0.00-0.14],[0.04-0.22]
Trachypithecus_cristatus,Leontopithecus_chrysomelas,0.118,[0.00-0.07],[0.04-0.22]
Trachypithecus_francoisi,Leontopithecus_chrysomelas,0.018,[0.02-0.22],[0.04-0.22]
Varecia_rubra,Leontopithecus_chrysomelas,0.018,[0.06-0.23],[0.04-0.22]
Varecia_variegata,Leontopithecus_chrysomelas,0.053,[0.09-0.26],[0.04-0.22]
Alouatta_caraya,Leontopithecus_rosalia,0.024,[0.00-0.12],[0.02-0.11]
Ateles_geoffroyi,Leontopithecus_rosalia,0.13,[0.08-0.31],[0.02-0.11]
Callimico_goeldii,Leontopithecus_rosalia,0.046,[0.04-0.18],[0.02-0.11]
Callithrix_geoffroyi,Leontopithecus_rosalia,0.023,[0.00-0.12],[0.02-0.11]
Callithrix_jacchus,Leontopithecus_rosalia,0.031,[0.00-0.09],[0.02-0.11]
Cebuella_pygmaea,Leontopithecus_rosalia,0.007,[0.00-0.13],[0.02-0.11]
Cercopithecus_neglectus,Leontopithecus_rosalia,0.02,[0.00-0.13],[0.02-0.11]
Colobus_guereza,Leontopithecus_rosalia,0.014,[0.01-0.09],[0.02-0.11]
Eulemur_macaco,Leontopithecus_rosalia,0.144,[0.08-0.35],[0.02-0.11]
Galago_moholi,Leontopithecus_rosalia,0.007,[0.01-0.16],[0.02-0.11]
Galago_senegalensis,Leontopithecus_rosalia,0.04,[0.00-0.06],[0.02-0.11]
Gorilla_gorilla,Leontopithecus_rosalia,0.026,[0.00-0.08],[0.02-0.11]
Hylobates_lar,Leontopithecus_rosalia,0.104,[0.07-0.28],[0.02-0.11]
Lemur_catta,Leontopithecus_rosalia,0.076,[0.09-0.18],[0.02-0.11]
Leontopithecus_chrysomelas,Leontopithecus_rosalia,0.062,[0.04-0.22],[0.02-0.11]
Leontopithecus_rosalia,Leontopithecus_rosalia,0,[0.02-0.11],[0.02-0.11]
Macaca_fascicularis,Leontopithecus_rosalia,0.056,[0.00-0.05],[0.02-0.11]
Macaca_fuscata,Leontopithecus_rosalia,0.032,[0.00-0.09],[0.02-0.11]
Macaca_nigra,Leontopithecus_rosalia,0.028,[0.00-0.10],[0.02-0.11]
Macaca_silenus,Leontopithecus_rosalia,0.026,[0.00-0.08],[0.02-0.11]
Mandrillus_sphinx,Leontopithecus_rosalia,0.011,[0.00-0.12],[0.02-0.11]
Mico_argentatus,Leontopithecus_rosalia,0.056,[0.00-0.09],[0.02-0.11]
Microcebus_murinus,Leontopithecus_rosalia,0.19,[0.14-0.36],[0.02-0.11]
Nycticebus_coucang,Leontopithecus_rosalia,0.028,[0.01-0.22],[0.02-0.11]
Nycticebus_pygmaeus,Leontopithecus_rosalia,0.169,[0.12-0.35],[0.02-0.11]
Pan_troglodytes,Leontopithecus_rosalia,0.045,[0.00-0.04],[0.02-0.11]
Papio_hamadryas,Leontopithecus_rosalia,0.046,[0.00-0.04],[0.02-0.11]
