species1,species2,Trait Difference,Trait CI1,Trait CI2
Saguinus_midas,Colobus_guereza,0.103,[0.00-0.08],[0.05-0.17]
Saguinus_oedipus,Colobus_guereza,0.069,[0.11-0.24],[0.05-0.17]
Saimiri_sciureus,Colobus_guereza,0.026,[0.04-0.13],[0.05-0.17]
Sapajus_apella,Colobus_guereza,0.012,[0.02-0.25],[0.05-0.17]
Theropithecus_gelada,Colobus_guereza,0.084,[0.00-0.07],[0.05-0.17]
Trachypithecus_auratus,Colobus_guereza,0.066,[0.00-0.14],[0.05-0.17]
Trachypithecus_cristatus,Colobus_guereza,0.067,[0.00-0.13],[0.05-0.17]
Trachypithecus_francoisi,Colobus_guereza,0.03,[0.04-0.27],[0.05-0.17]
Varecia_rubra,Colobus_guereza,0.083,[0.10-0.29],[0.05-0.17]
Varecia_variegata,Colobus_guereza,0.107,[0.13-0.31],[0.05-0.17]
Alouatta_caraya,Eulemur_macaco,0.175,[0.03-0.25],[0.15-0.47]
Ateles_geoffroyi,Eulemur_macaco,0.002,[0.18-0.44],[0.15-0.47]
Callimico_goeldii,Eulemur_macaco,0.083,[0.13-0.32],[0.15-0.47]
Callithrix_geoffroyi,Eulemur_macaco,0.203,[0.02-0.22],[0.15-0.47]
Callithrix_jacchus,Eulemur_macaco,0.276,[0.00-0.09],[0.15-0.47]
Cebuella_pygmaea,Eulemur_macaco,0.202,[0.03-0.20],[0.15-0.47]
Cercopithecus_neglectus,Eulemur_macaco,0.229,[0.01-0.19],[0.15-0.47]
Colobus_guereza,Eulemur_macaco,0.197,[0.05-0.17],[0.15-0.47]
Eulemur_macaco,Eulemur_macaco,0,[0.15-0.47],[0.15-0.47]
Galago_moholi,Eulemur_macaco,0.206,[0.02-0.21],[0.15-0.47]
Galago_senegalensis,Eulemur_macaco,0.285,[0.00-0.06],[0.15-0.47]
Gorilla_gorilla,Eulemur_macaco,0.091,[0.12-0.31],[0.15-0.47]
Hylobates_lar,Eulemur_macaco,0.141,[0.07-0.28],[0.15-0.47]
Lemur_catta,Eulemur_macaco,0.144,[0.11-0.20],[0.15-0.47]
Leontopithecus_chrysomelas,Eulemur_macaco,0.182,[0.04-0.22],[0.15-0.47]
Leontopithecus_rosalia,Eulemur_macaco,0.178,[0.06-0.20],[0.15-0.47]
Macaca_fascicularis,Eulemur_macaco,0.246,[0.00-0.14],[0.15-0.47]
Macaca_fuscata,Eulemur_macaco,0.207,[0.02-0.19],[0.15-0.47]
Macaca_nigra,Eulemur_macaco,0.272,[0.00-0.10],[0.15-0.47]
Macaca_silenus,Eulemur_macaco,0.212,[0.03-0.16],[0.15-0.47]
Mandrillus_sphinx,Eulemur_macaco,0.211,[0.02-0.18],[0.15-0.47]
Mico_argentatus,Eulemur_macaco,0.25,[0.00-0.18],[0.15-0.47]
Microcebus_murinus,Eulemur_macaco,0.054,[0.14-0.36],[0.15-0.47]
Nycticebus_coucang,Eulemur_macaco,0.217,[0.01-0.22],[0.15-0.47]
Nycticebus_pygmaeus,Eulemur_macaco,0.035,[0.15-0.39],[0.15-0.47]
Pan_troglodytes,Eulemur_macaco,0.132,[0.10-0.25],[0.15-0.47]
Papio_hamadryas,Eulemur_macaco,0.251,[0.01-0.10],[0.15-0.47]
Propithecus_coquereli,Eulemur_macaco,0.14,[0.04-0.32],[0.15-0.47]
Saguinus_bicolor,Eulemur_macaco,0.26,[0.00-0.15],[0.15-0.47]
Saguinus_imperator,Eulemur_macaco,0.3,[0.00-0.05],[0.15-0.47]
Saguinus_midas,Eulemur_macaco,0.3,[0.00-0.08],[0.15-0.47]
Saguinus_oedipus,Eulemur_macaco,0.128,[0.11-0.24],[0.15-0.47]
Saimiri_sciureus,Eulemur_macaco,0.222,[0.04-0.13],[0.15-0.47]
Sapajus_apella,Eulemur_macaco,0.185,[0.02-0.25],[0.15-0.47]
Theropithecus_gelada,Eulemur_macaco,0.281,[0.00-0.07],[0.15-0.47]
Trachypithecus_auratus,Eulemur_macaco,0.263,[0.00-0.14],[0.15-0.47]
Trachypithecus_cristatus,Eulemur_macaco,0.264,[0.00-0.13],[0.15-0.47]
Trachypithecus_francoisi,Eulemur_macaco,0.167,[0.04-0.27],[0.15-0.47]
Varecia_rubra,Eulemur_macaco,0.114,[0.10-0.29],[0.15-0.47]
Varecia_variegata,Eulemur_macaco,0.089,[0.13-0.31],[0.15-0.47]
Alouatta_caraya,Galago_moholi,0.031,[0.03-0.25],[0.02-0.21]
Ateles_geoffroyi,Galago_moholi,0.209,[0.18-0.44],[0.02-0.21]
Callimico_goeldii,Galago_moholi,0.124,[0.13-0.32],[0.02-0.21]
Callithrix_geoffroyi,Galago_moholi,0.003,[0.02-0.22],[0.02-0.21]
Callithrix_jacchus,Galago_moholi,0.069,[0.00-0.09],[0.02-0.21]
Cebuella_pygmaea,Galago_moholi,0.004,[0.03-0.20],[0.02-0.21]
Cercopithecus_neglectus,Galago_moholi,0.022,[0.01-0.19],[0.02-0.21]
Colobus_guereza,Galago_moholi,0.009,[0.05-0.17],[0.02-0.21]
Eulemur_macaco,Galago_moholi,0.206,[0.15-0.47],[0.02-0.21]
Galago_moholi,Galago_moholi,0,[0.02-0.21],[0.02-0.21]
Galago_senegalensis,Galago_moholi,0.079,[0.00-0.06],[0.02-0.21]
Gorilla_gorilla,Galago_moholi,0.115,[0.12-0.31],[0.02-0.21]
Hylobates_lar,Galago_moholi,0.065,[0.07-0.28],[0.02-0.21]
Lemur_catta,Galago_moholi,0.062,[0.11-0.20],[0.02-0.21]
Leontopithecus_chrysomelas,Galago_moholi,0.024,[0.04-0.22],[0.02-0.21]
Leontopithecus_rosalia,Galago_moholi,0.028,[0.06-0.20],[0.02-0.21]
Macaca_fascicularis,Galago_moholi,0.04,[0.00-0.14],[0.02-0.21]
Macaca_fuscata,Galago_moholi,0.001,[0.02-0.19],[0.02-0.21]
Macaca_nigra,Galago_moholi,0.066,[0.00-0.10],[0.02-0.21]
Macaca_silenus,Galago_moholi,0.006,[0.03-0.16],[0.02-0.21]
Mandrillus_sphinx,Galago_moholi,0.005,[0.02-0.18],[0.02-0.21]
Mico_argentatus,Galago_moholi,0.044,[0.00-0.18],[0.02-0.21]
Microcebus_murinus,Galago_moholi,0.152,[0.14-0.36],[0.02-0.21]
Nycticebus_coucang,Galago_moholi,0.01,[0.01-0.22],[0.02-0.21]
Nycticebus_pygmaeus,Galago_moholi,0.172,[0.15-0.39],[0.02-0.21]
Pan_troglodytes,Galago_moholi,0.075,[0.10-0.25],[0.02-0.21]
Papio_hamadryas,Galago_moholi,0.045,[0.01-0.10],[0.02-0.21]
Propithecus_coquereli,Galago_moholi,0.066,[0.04-0.32],[0.02-0.21]
Saguinus_bicolor,Galago_moholi,0.054,[0.00-0.15],[0.02-0.21]
Saguinus_imperator,Galago_moholi,0.094,[0.00-0.05],[0.02-0.21]
Saguinus_midas,Galago_moholi,0.094,[0.00-0.08],[0.02-0.21]
Saguinus_oedipus,Galago_moholi,0.078,[0.11-0.24],[0.02-0.21]
Saimiri_sciureus,Galago_moholi,0.016,[0.04-0.13],[0.02-0.21]
Sapajus_apella,Galago_moholi,0.022,[0.02-0.25],[0.02-0.21]
Theropithecus_gelada,Galago_moholi,0.075,[0.00-0.07],[0.02-0.21]
Trachypithecus_auratus,Galago_moholi,0.057,[0.00-0.14],[0.02-0.21]
Trachypithecus_cristatus,Galago_moholi,0.058,[0.00-0.13],[0.02-0.21]
Trachypithecus_francoisi,Galago_moholi,0.04,[0.04-0.27],[0.02-0.21]
Varecia_rubra,Galago_moholi,0.093,[0.10-0.29],[0.02-0.21]
Varecia_variegata,Galago_moholi,0.117,[0.13-0.31],[0.02-0.21]
Alouatta_caraya,Galago_senegalensis,0.11,[0.03-0.25],[0.00-0.06]
Ateles_geoffroyi,Galago_senegalensis,0.287,[0.18-0.44],[0.00-0.06]
Callimico_goeldii,Galago_senegalensis,0.202,[0.13-0.32],[0.00-0.06]
Callithrix_geoffroyi,Galago_senegalensis,0.082,[0.02-0.22],[0.00-0.06]
Callithrix_jacchus,Galago_senegalensis,0.009,[0.00-0.09],[0.00-0.06]
Cebuella_pygmaea,Galago_senegalensis,0.082,[0.03-0.20],[0.00-0.06]
Cercopithecus_neglectus,Galago_senegalensis,0.056,[0.01-0.19],[0.00-0.06]
Colobus_guereza,Galago_senegalensis,0.088,[0.05-0.17],[0.00-0.06]
Eulemur_macaco,Galago_senegalensis,0.285,[0.15-0.47],[0.00-0.06]
Galago_moholi,Galago_senegalensis,0.079,[0.02-0.21],[0.00-0.06]
Galago_senegalensis,Galago_senegalensis,0,[0.00-0.06],[0.00-0.06]
Gorilla_gorilla,Galago_senegalensis,0.194,[0.12-0.31],[0.00-0.06]
Hylobates_lar,Galago_senegalensis,0.144,[0.07-0.28],[0.00-0.06]
Lemur_catta,Galago_senegalensis,0.141,[0.11-0.20],[0.00-0.06]
Leontopithecus_chrysomelas,Galago_senegalensis,0.102,[0.04-0.22],[0.00-0.06]
Leontopithecus_rosalia,Galago_senegalensis,0.107,[0.06-0.20],[0.00-0.06]
Macaca_fascicularis,Galago_senegalensis,0.039,[0.00-0.14],[0.00-0.06]
Macaca_fuscata,Galago_senegalensis,0.078,[0.02-0.19],[0.00-0.06]
Macaca_nigra,Galago_senegalensis,0.013,[0.00-0.10],[0.00-0.06]
Macaca_silenus,Galago_senegalensis,0.073,[0.03-0.16],[0.00-0.06]
Mandrillus_sphinx,Galago_senegalensis,0.074,[0.02-0.18],[0.00-0.06]
Mico_argentatus,Galago_senegalensis,0.035,[0.00-0.18],[0.00-0.06]
Microcebus_murinus,Galago_senegalensis,0.23,[0.14-0.36],[0.00-0.06]
Nycticebus_coucang,Galago_senegalensis,0.068,[0.01-0.22],[0.00-0.06]
Nycticebus_pygmaeus,Galago_senegalensis,0.25,[0.15-0.39],[0.00-0.06]
Pan_troglodytes,Galago_senegalensis,0.153,[0.10-0.25],[0.00-0.06]
Papio_hamadryas,Galago_senegalensis,0.033,[0.01-0.10],[0.00-0.06]
Propithecus_coquereli,Galago_senegalensis,0.145,[0.04-0.32],[0.00-0.06]
Saguinus_bicolor,Galago_senegalensis,0.025,[0.00-0.15],[0.00-0.06]
Saguinus_imperator,Galago_senegalensis,0.015,[0.00-0.05],[0.00-0.06]
Saguinus_midas,Galago_senegalensis,0.015,[0.00-0.08],[0.00-0.06]
Saguinus_oedipus,Galago_senegalensis,0.156,[0.11-0.24],[0.00-0.06]
Saimiri_sciureus,Galago_senegalensis,0.062,[0.04-0.13],[0.00-0.06]
Sapajus_apella,Galago_senegalensis,0.1,[0.02-0.25],[0.00-0.06]
Theropithecus_gelada,Galago_senegalensis,0.004,[0.00-0.07],[0.00-0.06]
Trachypithecus_auratus,Galago_senegalensis,0.022,[0.00-0.14],[0.00-0.06]
Trachypithecus_cristatus,Galago_senegalensis,0.021,[0.00-0.13],[0.00-0.06]
Trachypithecus_francoisi,Galago_senegalensis,0.118,[0.04-0.27],[0.00-0.06]
Varecia_rubra,Galago_senegalensis,0.171,[0.10-0.29],[0.00-0.06]
Varecia_variegata,Galago_senegalensis,0.195,[0.13-0.31],[0.00-0.06]
Alouatta_caraya,Gorilla_gorilla,0.084,[0.03-0.25],[0.12-0.31]
Ateles_geoffroyi,Gorilla_gorilla,0.093,[0.18-0.44],[0.12-0.31]
Callimico_goeldii,Gorilla_gorilla,0.008,[0.13-0.32],[0.12-0.31]
Callithrix_geoffroyi,Gorilla_gorilla,0.112,[0.02-0.22],[0.12-0.31]
Callithrix_jacchus,Gorilla_gorilla,0.185,[0.00-0.09],[0.12-0.31]
Cebuella_pygmaea,Gorilla_gorilla,0.111,[0.03-0.20],[0.12-0.31]
Cercopithecus_neglectus,Gorilla_gorilla,0.138,[0.01-0.19],[0.12-0.31]
Colobus_guereza,Gorilla_gorilla,0.106,[0.05-0.17],[0.12-0.31]
Eulemur_macaco,Gorilla_gorilla,0.091,[0.15-0.47],[0.12-0.31]
Galago_moholi,Gorilla_gorilla,0.115,[0.02-0.21],[0.12-0.31]
Galago_senegalensis,Gorilla_gorilla,0.194,[0.00-0.06],[0.12-0.31]
Gorilla_gorilla,Gorilla_gorilla,0,[0.12-0.31],[0.12-0.31]
Hylobates_lar,Gorilla_gorilla,0.05,[0.07-0.28],[0.12-0.31]
Lemur_catta,Gorilla_gorilla,0.053,[0.11-0.20],[0.12-0.31]
Leontopithecus_chrysomelas,Gorilla_gorilla,0.091,[0.04-0.22],[0.12-0.31]
Leontopithecus_rosalia,Gorilla_gorilla,0.087,[0.06-0.20],[0.12-0.31]
Macaca_fascicularis,Gorilla_gorilla,0.155,[0.00-0.14],[0.12-0.31]
Macaca_fuscata,Gorilla_gorilla,0.116,[0.02-0.19],[0.12-0.31]
Macaca_nigra,Gorilla_gorilla,0.181,[0.00-0.10],[0.12-0.31]
Macaca_silenus,Gorilla_gorilla,0.121,[0.03-0.16],[0.12-0.31]
Mandrillus_sphinx,Gorilla_gorilla,0.12,[0.02-0.18],[0.12-0.31]
Mico_argentatus,Gorilla_gorilla,0.159,[0.00-0.18],[0.12-0.31]
Microcebus_murinus,Gorilla_gorilla,0.037,[0.14-0.36],[0.12-0.31]
Nycticebus_coucang,Gorilla_gorilla,0.126,[0.01-0.22],[0.12-0.31]
Nycticebus_pygmaeus,Gorilla_gorilla,0.056,[0.15-0.39],[0.12-0.31]
Pan_troglodytes,Gorilla_gorilla,0.041,[0.10-0.25],[0.12-0.31]
Papio_hamadryas,Gorilla_gorilla,0.16,[0.01-0.10],[0.12-0.31]
Propithecus_coquereli,Gorilla_gorilla,0.049,[0.04-0.32],[0.12-0.31]
Saguinus_bicolor,Gorilla_gorilla,0.169,[0.00-0.15],[0.12-0.31]
Saguinus_imperator,Gorilla_gorilla,0.209,[0.00-0.05],[0.12-0.31]
Saguinus_midas,Gorilla_gorilla,0.209,[0.00-0.08],[0.12-0.31]
Saguinus_oedipus,Gorilla_gorilla,0.037,[0.11-0.24],[0.12-0.31]
Saimiri_sciureus,Gorilla_gorilla,0.131,[0.04-0.13],[0.12-0.31]
Sapajus_apella,Gorilla_gorilla,0.094,[0.02-0.25],[0.12-0.31]
Theropithecus_gelada,Gorilla_gorilla,0.19,[0.00-0.07],[0.12-0.31]
Trachypithecus_auratus,Gorilla_gorilla,0.172,[0.00-0.14],[0.12-0.31]
Trachypithecus_cristatus,Gorilla_gorilla,0.173,[0.00-0.13],[0.12-0.31]
Trachypithecus_francoisi,Gorilla_gorilla,0.076,[0.04-0.27],[0.12-0.31]
Varecia_rubra,Gorilla_gorilla,0.023,[0.10-0.29],[0.12-0.31]
Varecia_variegata,Gorilla_gorilla,0.002,[0.13-0.31],[0.12-0.31]
Alouatta_caraya,Hylobates_lar,0.034,[0.03-0.25],[0.07-0.28]
Ateles_geoffroyi,Hylobates_lar,0.143,[0.18-0.44],[0.07-0.28]
Callimico_goeldii,Hylobates_lar,0.058,[0.13-0.32],[0.07-0.28]
Callithrix_geoffroyi,Hylobates_lar,0.062,[0.02-0.22],[0.07-0.28]
Callithrix_jacchus,Hylobates_lar,0.135,[0.00-0.09],[0.07-0.28]
Cebuella_pygmaea,Hylobates_lar,0.062,[0.03-0.20],[0.07-0.28]
Cercopithecus_neglectus,Hylobates_lar,0.088,[0.01-0.19],[0.07-0.28]
Colobus_guereza,Hylobates_lar,0.056,[0.05-0.17],[0.07-0.28]
Eulemur_macaco,Hylobates_lar,0.141,[0.15-0.47],[0.07-0.28]
Galago_moholi,Hylobates_lar,0.065,[0.02-0.21],[0.07-0.28]
Galago_senegalensis,Hylobates_lar,0.144,[0.00-0.06],[0.07-0.28]
Gorilla_gorilla,Hylobates_lar,0.05,[0.12-0.31],[0.07-0.28]
Hylobates_lar,Hylobates_lar,0,[0.07-0.28],[0.07-0.28]
Lemur_catta,Hylobates_lar,0.003,[0.11-0.20],[0.07-0.28]
Leontopithecus_chrysomelas,Hylobates_lar,0.041,[0.04-0.22],[0.07-0.28]
Leontopithecus_rosalia,Hylobates_lar,0.037,[0.06-0.20],[0.07-0.28]
Macaca_fascicularis,Hylobates_lar,0.105,[0.00-0.14],[0.07-0.28]
Macaca_fuscata,Hylobates_lar,0.066,[0.02-0.19],[0.07-0.28]
Macaca_nigra,Hylobates_lar,0.131,[0.00-0.10],[0.07-0.28]
Macaca_silenus,Hylobates_lar,0.071,[0.03-0.16],[0.07-0.28]
Mandrillus_sphinx,Hylobates_lar,0.07,[0.02-0.18],[0.07-0.28]
Mico_argentatus,Hylobates_lar,0.109,[0.00-0.18],[0.07-0.28]
Microcebus_murinus,Hylobates_lar,0.087,[0.14-0.36],[0.07-0.28]
Nycticebus_coucang,Hylobates_lar,0.076,[0.01-0.22],[0.07-0.28]
Nycticebus_pygmaeus,Hylobates_lar,0.106,[0.15-0.39],[0.07-0.28]
Pan_troglodytes,Hylobates_lar,0.009,[0.10-0.25],[0.07-0.28]
Papio_hamadryas,Hylobates_lar,0.111,[0.01-0.10],[0.07-0.28]
Propithecus_coquereli,Hylobates_lar,0.001,[0.04-0.32],[0.07-0.28]
Saguinus_bicolor,Hylobates_lar,0.119,[0.00-0.15],[0.07-0.28]
Saguinus_imperator,Hylobates_lar,0.159,[0.00-0.05],[0.07-0.28]
Saguinus_midas,Hylobates_lar,0.159,[0.00-0.08],[0.07-0.28]
Saguinus_oedipus,Hylobates_lar,0.013,[0.11-0.24],[0.07-0.28]
Saimiri_sciureus,Hylobates_lar,0.082,[0.04-0.13],[0.07-0.28]
Sapajus_apella,Hylobates_lar,0.044,[0.02-0.25],[0.07-0.28]
Theropithecus_gelada,Hylobates_lar,0.14,[0.00-0.07],[0.07-0.28]
Trachypithecus_auratus,Hylobates_lar,0.122,[0.00-0.14],[0.07-0.28]
Trachypithecus_cristatus,Hylobates_lar,0.123,[0.00-0.13],[0.07-0.28]
Trachypithecus_francoisi,Hylobates_lar,0.026,[0.04-0.27],[0.07-0.28]
Varecia_rubra,Hylobates_lar,0.027,[0.10-0.29],[0.07-0.28]
Varecia_variegata,Hylobates_lar,0.051,[0.13-0.31],[0.07-0.28]
Alouatta_caraya,Lemur_catta,0.031,[0.03-0.25],[0.11-0.20]
Ateles_geoffroyi,Lemur_catta,0.147,[0.18-0.44],[0.11-0.20]
Callimico_goeldii,Lemur_catta,0.062,[0.13-0.32],[0.11-0.20]
Callithrix_geoffroyi,Lemur_catta,0.059,[0.02-0.22],[0.11-0.20]
Callithrix_jacchus,Lemur_catta,0.131,[0.00-0.09],[0.11-0.20]
Cebuella_pygmaea,Lemur_catta,0.058,[0.03-0.20],[0.11-0.20]
Cercopithecus_neglectus,Lemur_catta,0.084,[0.01-0.19],[0.11-0.20]
Colobus_guereza,Lemur_catta,0.053,[0.05-0.17],[0.11-0.20]
Eulemur_macaco,Lemur_catta,0.144,[0.15-0.47],[0.11-0.20]
Galago_moholi,Lemur_catta,0.062,[0.02-0.21],[0.11-0.20]
Galago_senegalensis,Lemur_catta,0.141,[0.00-0.06],[0.11-0.20]
Gorilla_gorilla,Lemur_catta,0.053,[0.12-0.31],[0.11-0.20]
Hylobates_lar,Lemur_catta,0.003,[0.07-0.28],[0.11-0.20]
Lemur_catta,Lemur_catta,0,[0.11-0.20],[0.11-0.20]
Leontopithecus_chrysomelas,Lemur_catta,0.038,[0.04-0.22],[0.11-0.20]
Leontopithecus_rosalia,Lemur_catta,0.034,[0.06-0.20],[0.11-0.20]
Macaca_fascicularis,Lemur_catta,0.102,[0.00-0.14],[0.11-0.20]
Macaca_fuscata,Lemur_catta,0.063,[0.02-0.19],[0.11-0.20]
Macaca_nigra,Lemur_catta,0.128,[0.00-0.10],[0.11-0.20]
Macaca_silenus,Lemur_catta,0.068,[0.03-0.16],[0.11-0.20]
Mandrillus_sphinx,Lemur_catta,0.067,[0.02-0.18],[0.11-0.20]
Mico_argentatus,Lemur_catta,0.106,[0.00-0.18],[0.11-0.20]
Microcebus_murinus,Lemur_catta,0.09,[0.14-0.36],[0.11-0.20]
Nycticebus_coucang,Lemur_catta,0.072,[0.01-0.22],[0.11-0.20]
Nycticebus_pygmaeus,Lemur_catta,0.11,[0.15-0.39],[0.11-0.20]
Pan_troglodytes,Lemur_catta,0.013,[0.10-0.25],[0.11-0.20]
Papio_hamadryas,Lemur_catta,0.107,[0.01-0.10],[0.11-0.20]
Propithecus_coquereli,Lemur_catta,0.004,[0.04-0.32],[0.11-0.20]
Saguinus_bicolor,Lemur_catta,0.116,[0.00-0.15],[0.11-0.20]
Saguinus_imperator,Lemur_catta,0.156,[0.00-0.05],[0.11-0.20]
Saguinus_midas,Lemur_catta,0.156,[0.00-0.08],[0.11-0.20]
Saguinus_oedipus,Lemur_catta,0.016,[0.11-0.24],[0.11-0.20]
Saimiri_sciureus,Lemur_catta,0.078,[0.04-0.13],[0.11-0.20]
Sapajus_apella,Lemur_catta,0.04,[0.02-0.25],[0.11-0.20]
Theropithecus_gelada,Lemur_catta,0.137,[0.00-0.07],[0.11-0.20]
Trachypithecus_auratus,Lemur_catta,0.119,[0.00-0.14],[0.11-0.20]
Trachypithecus_cristatus,Lemur_catta,0.12,[0.00-0.13],[0.11-0.20]
Trachypithecus_francoisi,Lemur_catta,0.022,[0.04-0.27],[0.11-0.20]
Varecia_rubra,Lemur_catta,0.031,[0.10-0.29],[0.11-0.20]
Varecia_variegata,Lemur_catta,0.055,[0.13-0.31],[0.11-0.20]
Alouatta_caraya,Leontopithecus_chrysomelas,0.007,[0.03-0.25],[0.04-0.22]
Ateles_geoffroyi,Leontopithecus_chrysomelas,0.185,[0.18-0.44],[0.04-0.22]
Callimico_goeldii,Leontopithecus_chrysomelas,0.1,[0.13-0.32],[0.04-0.22]
Callithrix_geoffroyi,Leontopithecus_chrysomelas,0.021,[0.02-0.22],[0.04-0.22]
Callithrix_jacchus,Leontopithecus_chrysomelas,0.093,[0.00-0.09],[0.04-0.22]
Cebuella_pygmaea,Leontopithecus_chrysomelas,0.02,[0.03-0.20],[0.04-0.22]
Cercopithecus_neglectus,Leontopithecus_chrysomelas,0.046,[0.01-0.19],[0.04-0.22]
Colobus_guereza,Leontopithecus_chrysomelas,0.015,[0.05-0.17],[0.04-0.22]
Eulemur_macaco,Leontopithecus_chrysomelas,0.182,[0.15-0.47],[0.04-0.22]
Galago_moholi,Leontopithecus_chrysomelas,0.024,[0.02-0.21],[0.04-0.22]
Galago_senegalensis,Leontopithecus_chrysomelas,0.102,[0.00-0.06],[0.04-0.22]
Gorilla_gorilla,Leontopithecus_chrysomelas,0.091,[0.12-0.31],[0.04-0.22]
Hylobates_lar,Leontopithecus_chrysomelas,0.041,[0.07-0.28],[0.04-0.22]
Lemur_catta,Leontopithecus_chrysomelas,0.038,[0.11-0.20],[0.04-0.22]
Leontopithecus_chrysomelas,Leontopithecus_chrysomelas,0,[0.04-0.22],[0.04-0.22]
Leontopithecus_rosalia,Leontopithecus_chrysomelas,0.005,[0.06-0.20],[0.04-0.22]
Macaca_fascicularis,Leontopithecus_chrysomelas,0.064,[0.00-0.14],[0.04-0.22]
Macaca_fuscata,Leontopithecus_chrysomelas,0.025,[0.02-0.19],[0.04-0.22]
Macaca_nigra,Leontopithecus_chrysomelas,0.09,[0.00-0.10],[0.04-0.22]
Macaca_silenus,Leontopithecus_chrysomelas,0.029,[0.03-0.16],[0.04-0.22]
Mandrillus_sphinx,Leontopithecus_chrysomelas,0.029,[0.02-0.18],[0.04-0.22]
Mico_argentatus,Leontopithecus_chrysomelas,0.068,[0.00-0.18],[0.04-0.22]
Microcebus_murinus,Leontopithecus_chrysomelas,0.128,[0.14-0.36],[0.04-0.22]
Nycticebus_coucang,Leontopithecus_chrysomelas,0.034,[0.01-0.22],[0.04-0.22]
Nycticebus_pygmaeus,Leontopithecus_chrysomelas,0.148,[0.15-0.39],[0.04-0.22]
Pan_troglodytes,Leontopithecus_chrysomelas,0.051,[0.10-0.25],[0.04-0.22]
Papio_hamadryas,Leontopithecus_chrysomelas,0.069,[0.01-0.10],[0.04-0.22]
Propithecus_coquereli,Leontopithecus_chrysomelas,0.042,[0.04-0.32],[0.04-0.22]
Saguinus_bicolor,Leontopithecus_chrysomelas,0.078,[0.00-0.15],[0.04-0.22]
Saguinus_imperator,Leontopithecus_chrysomelas,0.118,[0.00-0.05],[0.04-0.22]
Saguinus_midas,Leontopithecus_chrysomelas,0.118,[0.00-0.08],[0.04-0.22]
Saguinus_oedipus,Leontopithecus_chrysomelas,0.054,[0.11-0.24],[0.04-0.22]
Saimiri_sciureus,Leontopithecus_chrysomelas,0.04,[0.04-0.13],[0.04-0.22]
Sapajus_apella,Leontopithecus_chrysomelas,0.002,[0.02-0.25],[0.04-0.22]
Theropithecus_gelada,Leontopithecus_chrysomelas,0.098,[0.00-0.07],[0.04-0.22]
Trachypithecus_auratus,Leontopithecus_chrysomelas,0.081,[0.00-0.14],[0.04-0.22]
Trachypithecus_cristatus,Leontopithecus_chrysomelas,0.082,[0.00-0.13],[0.04-0.22]
Trachypithecus_francoisi,Leontopithecus_chrysomelas,0.016,[0.04-0.27],[0.04-0.22]
Varecia_rubra,Leontopithecus_chrysomelas,0.069,[0.10-0.29],[0.04-0.22]
Varecia_variegata,Leontopithecus_chrysomelas,0.093,[0.13-0.31],[0.04-0.22]
Alouatta_caraya,Leontopithecus_rosalia,0.003,[0.03-0.25],[0.06-0.20]
Ateles_geoffroyi,Leontopithecus_rosalia,0.18,[0.18-0.44],[0.06-0.20]
Callimico_goeldii,Leontopithecus_rosalia,0.095,[0.13-0.32],[0.06-0.20]
Callithrix_geoffroyi,Leontopithecus_rosalia,0.025,[0.02-0.22],[0.06-0.20]
Callithrix_jacchus,Leontopithecus_rosalia,0.098,[0.00-0.09],[0.06-0.20]
Cebuella_pygmaea,Leontopithecus_rosalia,0.025,[0.03-0.20],[0.06-0.20]
Cercopithecus_neglectus,Leontopithecus_rosalia,0.051,[0.01-0.19],[0.06-0.20]
Colobus_guereza,Leontopithecus_rosalia,0.019,[0.05-0.17],[0.06-0.20]
Eulemur_macaco,Leontopithecus_rosalia,0.178,[0.15-0.47],[0.06-0.20]
Galago_moholi,Leontopithecus_rosalia,0.028,[0.02-0.21],[0.06-0.20]
Galago_senegalensis,Leontopithecus_rosalia,0.107,[0.00-0.06],[0.06-0.20]
Gorilla_gorilla,Leontopithecus_rosalia,0.087,[0.12-0.31],[0.06-0.20]
Hylobates_lar,Leontopithecus_rosalia,0.037,[0.07-0.28],[0.06-0.20]
Lemur_catta,Leontopithecus_rosalia,0.034,[0.11-0.20],[0.06-0.20]
Leontopithecus_chrysomelas,Leontopithecus_rosalia,0.005,[0.04-0.22],[0.06-0.20]
Leontopithecus_rosalia,Leontopithecus_rosalia,0,[0.06-0.20],[0.06-0.20]
Macaca_fascicularis,Leontopithecus_rosalia,0.068,[0.00-0.14],[0.06-0.20]
Macaca_fuscata,Leontopithecus_rosalia,0.029,[0.02-0.19],[0.06-0.20]
Macaca_nigra,Leontopithecus_rosalia,0.094,[0.00-0.10],[0.06-0.20]
Macaca_silenus,Leontopithecus_rosalia,0.034,[0.03-0.16],[0.06-0.20]
Mandrillus_sphinx,Leontopithecus_rosalia,0.033,[0.02-0.18],[0.06-0.20]
Mico_argentatus,Leontopithecus_rosalia,0.072,[0.00-0.18],[0.06-0.20]
Microcebus_murinus,Leontopithecus_rosalia,0.123,[0.14-0.36],[0.06-0.20]
Nycticebus_coucang,Leontopithecus_rosalia,0.039,[0.01-0.22],[0.06-0.20]
Nycticebus_pygmaeus,Leontopithecus_rosalia,0.143,[0.15-0.39],[0.06-0.20]
Pan_troglodytes,Leontopithecus_rosalia,0.046,[0.10-0.25],[0.06-0.20]
Papio_hamadryas,Leontopithecus_rosalia,0.074,[0.01-0.10],[0.06-0.20]
